ticker,company_name,index,score_321,score_slope,eps_chg_60d,eps_chg_7d,eps_chg_30d,eps_chg_90d,price_change_pct,peg,price,ma_20,ma_60,ma_200,rsi,dollar_vol_M,sector,current,7d,30d,60d,90d,is_aligned,is_quality_growth,is_reasonable_value,is_technical_rescue,pass_reason,rev_growth,op_growth,from_52w_high,action,fwd_per,roe,peg_calculated,hybrid_score,price_position_score,high_52w,action_multiplier,actionable_score,quality_score,value_score,total_score,quality_grade,value_label,actionable_score_v63,volume_spike,earnings_dday,fake_bottom,atr,stop_loss,ma_50,industry,is_filled
WDC,Western Digital Corporation,NASDAQ_100,16.3,0.3,36.3,18.1,32.3,40.8,-3.42,,260.19,240.47,193.51,114.87,61.1,2907.1,Technology,12.79166,10.8312,9.66603,9.38648,9.08696,True,True,False,False,"Quality Growth (Rev+25%, Op+75%)",25.2,75.1,-12.2,진입금지 (단기급등),20.3,41.1,0.56,12.79,12.2,296.5,0.3,3.84,83.4,55,83.4,S급,중립,25.02,False,,False,22.76,214.68,200.75,Computer Hardware,0
MU,"Micron Technology, Inc.",NASDAQ_100,32.6,0.3,117.8,2.8,13.2,131.7,0.92,,382.89,382.25,297.38,182.91,60.2,14777.3,Semiconductor,43.54298,42.35653,38.47903,19.98722,18.79317,True,True,False,False,"Quality Growth (Rev+57%, Op+182%)",56.7,182.2,-15.9,관망,8.8,22.6,0.07,23.34,15.9,455.5,0.7,16.34,70.3,65,70.3,S급,중립,49.23,True,,False,29.69,323.52,310.32,Semiconductors,0
LRCX,Lam Research Corporation,NASDAQ_100,13.3,0.2,21.6,14.2,20.6,22.9,1.68,,213.31,223.3,183.94,129.61,48.0,3032.9,Semiconductor,6.8004,5.95654,5.63674,5.59056,5.53432,True,True,False,False,"Quality Growth (Rev+22%, Op+36%)",22.1,35.7,-15.3,적극매수 (눌림목),31.4,65.6,1.45,11.9,15.3,251.87,1.0,11.9,69.2,70,69.2,A급,매수적기,69.22,False,,False,13.58,186.15,190.57,Semiconductor Equipment & Materials,0
STX,Seagate Technology Holdings PLC,NASDAQ_100,15.2,0.2,30.9,4.6,26.9,32.6,-3.15,,405.45,363.94,306.53,206.32,67.6,2168.5,Technology,19.22921,18.38831,15.15455,14.68693,14.50536,True,True,False,False,"Quality Growth (Rev+22%, Op+73%)",21.5,73.0,-11.7,진입금지 (단기급등),21.1,,0.68,12.07,11.8,459.41,0.3,3.62,65.1,55,65.1,A급,중립,19.53,False,,False,31.8,341.85,315.2,Computer Hardware,0
CMC,Commercial Metals Company,SP400_MidCap,16.6,0.2,38.2,3.5,25.1,42.3,-2.59,,80.56,76.49,69.5,57.95,62.1,111.9,Basic Materials,7.17029,6.92779,5.7325,5.18942,5.03902,True,True,False,False,"Quality Growth (Rev+11%, Op+63%)",11.0,62.7,-4.2,관망 (저항근접),11.2,10.5,0.29,11.36,4.2,84.12,0.7,7.95,64.9,45,64.9,A급,과열,45.45,False,,False,2.69,75.18,71.63,Steel,0
NEM,Newmont Corporation,SP500,13.0,0.1,19.8,5.6,15.0,19.8,-7.12,,108.53,117.47,102.42,77.81,44.4,1178.7,Basic Materials,8.87144,8.40155,7.71615,7.40674,7.40345,True,True,False,False,"Quality Growth (Rev+20%, Op+102%)",20.0,101.5,-19.5,적극매수 (눌림목),12.2,22.9,0.62,13.98,19.5,134.88,1.0,13.98,53.5,70,53.5,B급,매수적기,53.46,False,,False,6.48,95.56,105.45,Gold,0
FIVE,"Five Below, Inc.",SP400_MidCap,11.3,0.1,11.5,1.6,10.5,22.4,0.6,,194.09,194.1,179.37,146.37,45.1,223.5,Consumer Cyclical,6.92452,6.81535,6.26426,6.21102,5.65706,True,True,False,False,"Quality Growth (Rev+23%, Op+7246%)",23.1,7246.0,-5.4,관망 (조정부족),28.0,17.3,2.44,7.99,5.4,205.22,0.7,5.59,38.6,65,38.6,C급,중립,27.0,False,,False,6.49,181.1,185.3,Specialty Retail,0
AVGO,Broadcom Inc.,NASDAQ_100,11.6,0.0,13.0,1.0,2.3,18.0,0.8,,310.51,332.44,351.08,307.42,30.3,8428.2,Semiconductor,14.36275,14.22036,14.03726,12.70597,12.16856,True,True,False,False,"Quality Growth (Rev+28%, Op+55%)",28.2,54.8,-25.0,저점매수 (과매도),21.6,31.1,1.66,14.22,25.0,413.82,1.0,14.22,30.9,95,30.9,C급,급락매수,30.89,True,,False,15.12,280.26,351.98,Semiconductors,0
GMED,"Globus Medical, Inc.",SP400_MidCap,9.7,0.0,3.3,1.2,3.1,16.5,0.51,,87.5,91.72,88.97,68.7,24.4,129.2,Healthcare,4.24454,4.19575,4.11708,4.10933,3.64417,True,True,False,False,"Quality Growth (Rev+23%, Op+172%)",22.9,171.8,-13.7,저점매수 (과매도),20.6,10.0,6.26,9.91,13.7,101.4,1.0,9.91,28.7,85,28.7,C급,급락매수,28.67,False,,False,2.46,82.59,89.89,Medical Devices,0
LLY,Eli Lilly and Company,SP500,10.0,0.0,4.8,0.3,3.2,8.6,-7.79,,1020.84,1054.3,1049.25,856.69,48.4,3440.5,Healthcare,41.42458,41.30606,40.12491,39.5085,38.15383,True,True,False,False,"Quality Growth (Rev+54%, Op+89%)",53.9,89.1,-10.0,관망 (조정부족),24.6,108.3,5.08,8.79,10.0,1133.95,0.7,6.15,25.9,75,25.9,C급,매수적기,18.12,True,,False,41.82,937.19,1054.7,Drug Manufacturers - General,0
